Frame: 2. People in image: 0, People crossing: 0
Frame: 3. People in image: 0, People crossing: 0
Frame: 4. People in image: 0, People crossing: 0
Frame: 5. People in image: 0, People crossing: 0
Frame: 6. People in image: 0, People crossing: 0
Frame: 7. People in image: 0, People crossing: 0
Frame: 8. People in image: 0, People crossing: 0
Frame: 9. People in image: 0, People crossing: 0
Frame: 10. People in image: 0, People crossing: 0
Frame: 11. People in image: 0, People crossing: 0
Frame: 12. People in image: 0, People crossing: 0
Frame: 13. People in image: 0, People crossing: 0
Frame: 14. People in image: 0, People crossing: 0
Frame: 15. People in image: 0, People crossing: 0
Frame: 16. People in image: 0, People crossing: 0
Frame: 17. People in image: 0, People crossing: 0
Frame: 18. People in image: 0, People crossing: 0
Frame: 19. People in image: 0, People crossing: 0
Frame: 20. People in image: 0, People crossing: 0
Frame: 21. People in image: 0, People crossing: 0
Frame: 22. People in image: 0, People crossing: 0
Frame: 23. People in image: 0, People crossing: 0
Frame: 24. People in image: 0, People crossing: 0
Frame: 25. People in image: 0, People crossing: 0
Frame: 26. People in image: 0, People crossing: 0
Frame: 27. People in image: 0, People crossing: 0
Frame: 28. People in image: 0, People crossing: 0
Frame: 29. People in image: 0, People crossing: 0
Frame: 30. People in image: 0, People crossing: 0
Frame: 31. People in image: 0, People crossing: 0
Frame: 32. People in image: 0, People crossing: 0
Frame: 33. People in image: 0, People crossing: 0
Frame: 34. People in image: 0, People crossing: 0
Frame: 35. People in image: 0, People crossing: 0
Frame: 36. People in image: 0, People crossing: 0
Frame: 37. People in image: 0, People crossing: 0
Frame: 38. People in image: 0, People crossing: 0
Frame: 39. People in image: 0, People crossing: 0
Frame: 40. People in image: 0, People crossing: 0
Frame: 41. People in image: 0, People crossing: 0
Frame: 42. People in image: 0, People crossing: 0
Frame: 43. People in image: 0, People crossing: 0
Frame: 44. People in image: 0, People crossing: 0
Frame: 45. People in image: 0, People crossing: 0
Frame: 46. People in image: 0, People crossing: 0
Frame: 47. People in image: 0, People crossing: 0
Frame: 48. People in image: 0, People crossing: 0
Frame: 49. People in image: 0, People crossing: 0
Frame: 50. People in image: 0, People crossing: 0
Frame: 51. People in image: 0, People crossing: 0
Frame: 52. People in image: 0, People crossing: 0
Frame: 53. People in image: 0, People crossing: 0
Frame: 54. People in image: 0, People crossing: 0
Frame: 55. People in image: 0, People crossing: 0
Frame: 56. People in image: 0, People crossing: 0
Frame: 57. People in image: 0, People crossing: 0
Frame: 58. People in image: 0, People crossing: 0
Frame: 59. People in image: 0, People crossing: 0
Frame: 60. People in image: 0, People crossing: 0
Frame: 61. People in image: 0, People crossing: 0
Frame: 62. People in image: 0, People crossing: 0
Frame: 63. People in image: 0, People crossing: 0
Frame: 64. People in image: 0, People crossing: 0
Frame: 65. People in image: 0, People crossing: 0
Frame: 66. People in image: 0, People crossing: 0
Frame: 67. People in image: 0, People crossing: 0
Frame: 68. People in image: 0, People crossing: 0
Frame: 69. People in image: 0, People crossing: 0
Frame: 70. People in image: 0, People crossing: 0
Frame: 71. People in image: 0, People crossing: 0
Frame: 72. People in image: 0, People crossing: 0
Frame: 73. People in image: 0, People crossing: 0
Frame: 74. People in image: 0, People crossing: 0
Frame: 75. People in image: 0, People crossing: 0
Frame: 76. People in image: 0, People crossing: 0
Frame: 77. People in image: 0, People crossing: 0
Frame: 78. People in image: 0, People crossing: 0
Frame: 79. People in image: 0, People crossing: 0
Frame: 80. People in image: 0, People crossing: 0
Frame: 81. People in image: 0, People crossing: 0
Frame: 82. People in image: 0, People crossing: 0
Frame: 83. People in image: 0, People crossing: 0
Frame: 84. People in image: 0, People crossing: 0
Frame: 85. People in image: 0, People crossing: 0
Frame: 86. People in image: 0, People crossing: 0
Frame: 87. People in image: 0, People crossing: 0
Frame: 88. People in image: 0, People crossing: 0
Frame: 89. People in image: 0, People crossing: 0
Frame: 90. People in image: 0, People crossing: 0
Frame: 91. People in image: 0, People crossing: 0
Frame: 92. People in image: 0, People crossing: 0
Frame: 93. People in image: 0, People crossing: 0
Frame: 94. People in image: 0, People crossing: 0
Frame: 95. People in image: 0, People crossing: 0
Frame: 96. People in image: 0, People crossing: 0
Frame: 97. People in image: 0, People crossing: 0
Frame: 98. People in image: 0, People crossing: 0
Frame: 99. People in image: 0, People crossing: 0
Frame: 100. People in image: 0, People crossing: 0
Frame: 101. People in image: 0, People crossing: 0
Frame: 102. People in image: 0, People crossing: 0
Frame: 103. People in image: 0, People crossing: 0
Frame: 104. People in image: 0, People crossing: 0
Frame: 105. People in image: 0, People crossing: 0
Frame: 106. People in image: 0, People crossing: 0
Frame: 107. People in image: 0, People crossing: 0
Frame: 108. People in image: 0, People crossing: 0
Frame: 109. People in image: 0, People crossing: 0
Frame: 110. People in image: 0, People crossing: 0
Frame: 111. People in image: 0, People crossing: 0
Frame: 112. People in image: 0, People crossing: 0
Frame: 113. People in image: 0, People crossing: 0
Frame: 114. People in image: 0, People crossing: 0
Frame: 115. People in image: 0, People crossing: 0
Frame: 116. People in image: 0, People crossing: 0
Frame: 117. People in image: 0, People crossing: 0
Frame: 118. People in image: 0, People crossing: 0
Frame: 119. People in image: 0, People crossing: 0
Frame: 120. People in image: 0, People crossing: 0
Frame: 121. People in image: 0, People crossing: 0
Frame: 122. People in image: 0, People crossing: 0
Frame: 123. People in image: 0, People crossing: 0
Frame: 124. People in image: 0, People crossing: 0
Frame: 125. People in image: 0, People crossing: 0
Frame: 126. People in image: 0, People crossing: 0
Frame: 127. People in image: 0, People crossing: 0
Frame: 128. People in image: 0, People crossing: 0
Frame: 129. People in image: 0, People crossing: 0
Frame: 130. People in image: 0, People crossing: 0
Frame: 131. People in image: 0, People crossing: 0
Frame: 132. People in image: 0, People crossing: 0
Frame: 133. People in image: 0, People crossing: 0
Frame: 134. People in image: 1, People crossing: 0
Frame: 135. People in image: 1, People crossing: 0
Frame: 136. People in image: 1, People crossing: 0
Frame: 137. People in image: 1, People crossing: 0
Frame: 138. People in image: 1, People crossing: 0
Frame: 139. People in image: 1, People crossing: 0
Frame: 140. People in image: 1, People crossing: 0
Frame: 141. People in image: 0, People crossing: 0
Frame: 142. People in image: 0, People crossing: 0
Frame: 143. People in image: 0, People crossing: 0
Frame: 144. People in image: 0, People crossing: 0
Frame: 145. People in image: 0, People crossing: 0
Frame: 146. People in image: 0, People crossing: 0
Frame: 147. People in image: 0, People crossing: 0
Frame: 148. People in image: 0, People crossing: 0
Frame: 149. People in image: 0, People crossing: 0
Frame: 150. People in image: 0, People crossing: 0
Frame: 151. People in image: 0, People crossing: 0
Frame: 152. People in image: 0, People crossing: 0
Frame: 153. People in image: 0, People crossing: 0
Frame: 154. People in image: 0, People crossing: 0
Frame: 155. People in image: 0, People crossing: 0
Frame: 156. People in image: 0, People crossing: 0
Frame: 157. People in image: 0, People crossing: 0
Frame: 158. People in image: 0, People crossing: 0
